inlove	Pudahuel	16
inlove	Recoleta	25
inlove	Las Rejas	25
inlove	Huechuraba	24
inlove	San Miguel	14
inlove	La Cisterna	21
inlove	Peñalolén	25
inlove	Providencia	29
inlove	Puente Alto	26
inlove	Lo Barnechea	22
inlove	Plaza Italia	32
inlove	San Bernardo	24
inlove	San Joaquín	26
inlove	Vespucio Sur	21
inlove	Independencia	22
inlove	Los Dominicos	23
inlove	Quinta Normal	20
inlove	Alameda Centro	25
inlove	Av. La Florida	29
inlove	Grecia Ñuñoa	26
inlove	Vespucio Norte	21
inlove	Costanera Norte	20
inlove	Autopista Central	27
inlove	Estación Central	18
inlove	Camino a Melipilla	20
inlove	Apoquindo Las Condes	24
inlove	Ñuñoa Plaza Egaña	27
police	Macul	2
police	Lo Prado	2
police	Pudahuel	1
police	Recoleta	2
police	Las Rejas	3
police	Huechuraba	1
police	San Miguel	3
police	Peñalolén	1
police	Providencia	2
police	Puente Alto	3
police	Lo Barnechea	2
police	Plaza Italia	1
police	San Joaquín	1
police	Vespucio Sur	1
police	Independencia	2
police	Los Dominicos	2
police	Quinta Normal	2
police	Alameda Centro	2
police	Av. La Florida	1
police	Grecia Ñuñoa	4
police	Vespucio Norte	1
police	Costanera Norte	3
police	Autopista Central	3
police	Estación Central	2
police	Camino a Melipilla	1
police	Apoquindo Las Condes	3
police	Ñuñoa Plaza Egaña	5
sleepy	Macul	1
sleepy	Las Rejas	1
sleepy	La Cisterna	1
sleepy	Lo Barnechea	1
sleepy	Plaza Italia	1
sleepy	San Bernardo	1
sleepy	Ñuñoa Plaza Egaña	1
speedy	Macul	2
speedy	Maipú	4
speedy	Lo Prado	1
speedy	Pudahuel	3
speedy	Huechuraba	3
speedy	La Cisterna	1
speedy	Peñalolén	3
speedy	Providencia	2
speedy	Puente Alto	2
speedy	Lo Barnechea	2
speedy	Plaza Italia	1
speedy	San Bernardo	1
speedy	San Joaquín	2
speedy	Vespucio Sur	3
speedy	Independencia	1
speedy	Quinta Normal	2
speedy	Av. La Florida	4
speedy	Grecia Ñuñoa	2
speedy	Costanera Norte	2
speedy	Autopista Central	3
speedy	Estación Central	1
speedy	Camino a Melipilla	3
speedy	Apoquindo Las Condes	2
zombie	Macul	17
zombie	Maipú	24
zombie	Lo Prado	17
zombie	Pudahuel	23
zombie	Recoleta	16
zombie	Las Rejas	22
zombie	Huechuraba	17
zombie	San Miguel	24
zombie	La Cisterna	15
zombie	Peñalolén	21
zombie	Providencia	16
zombie	Puente Alto	28
zombie	Lo Barnechea	15
zombie	Plaza Italia	15
zombie	San Bernardo	23
zombie	San Joaquín	26
zombie	Vespucio Sur	21
zombie	Independencia	26
zombie	Los Dominicos	32
zombie	Quinta Normal	18
zombie	Alameda Centro	22
zombie	Av. La Florida	23
zombie	Grecia Ñuñoa	21
zombie	Vespucio Norte	18
zombie	Costanera Norte	23
zombie	Autopista Central	20
zombie	Estación Central	22
zombie	Camino a Melipilla	15
zombie	Apoquindo Las Condes	17
zombie	Ñuñoa Plaza Egaña	23
accident	Los Dominicos	1
peaceful	Macul	41
peaceful	Maipú	37
peaceful	Lo Prado	27
peaceful	Pudahuel	30
peaceful	Recoleta	27
peaceful	Las Rejas	32
peaceful	Huechuraba	43
peaceful	San Miguel	25
peaceful	La Cisterna	20
peaceful	Peñalolén	37
peaceful	Providencia	32
peaceful	Puente Alto	22
peaceful	Lo Barnechea	32
peaceful	Plaza Italia	39
peaceful	San Bernardo	44
peaceful	San Joaquín	31
peaceful	Vespucio Sur	24
peaceful	Independencia	32
peaceful	Los Dominicos	40
peaceful	Quinta Normal	26
peaceful	Alameda Centro	36
peaceful	Av. La Florida	37
peaceful	Grecia Ñuñoa	33
peaceful	Vespucio Norte	26
peaceful	Costanera Norte	36
peaceful	Autopista Central	19
peaceful	Estación Central	35
peaceful	Camino a Melipilla	28
peaceful	Apoquindo Las Condes	37
peaceful	Ñuñoa Plaza Egaña	31
chit-chat	Maipú	1
chit-chat	Recoleta	3
chit-chat	Las Rejas	1
chit-chat	La Cisterna	1
chit-chat	Lo Barnechea	1
chit-chat	Plaza Italia	1
chit-chat	Los Dominicos	1
chit-chat	Ñuñoa Plaza Egaña	1
sarcastic	Lo Barnechea	1
sarcastic	San Bernardo	1
sarcastic	Quinta Normal	2
sarcastic	Costanera Norte	1
desconocido	Macul	123
desconocido	Maipú	105
desconocido	Lo Prado	111
desconocido	Pudahuel	108
desconocido	Recoleta	119
desconocido	Las Rejas	89
desconocido	Huechuraba	119
desconocido	San Miguel	127
desconocido	La Cisterna	140
desconocido	Peñalolén	136
desconocido	Providencia	101
desconocido	Puente Alto	118
desconocido	Lo Barnechea	114
desconocido	Plaza Italia	123
desconocido	San Bernardo	121
desconocido	San Joaquín	102
desconocido	Vespucio Sur	117
desconocido	Independencia	106
desconocido	Los Dominicos	113
desconocido	Quinta Normal	107
desconocido	Alameda Centro	119
desconocido	Av. La Florida	111
desconocido	Grecia Ñuñoa	121
desconocido	Vespucio Norte	112
desconocido	Costanera Norte	113
desconocido	Autopista Central	123
desconocido	Estación Central	103
desconocido	Camino a Melipilla	127
desconocido	Apoquindo Las Condes	115
desconocido	Ñuñoa Plaza Egaña	114
road-closed	Lo Prado	2
road-closed	Pudahuel	4
road-closed	Recoleta	1
road-closed	Puente Alto	1
road-closed	Lo Barnechea	1
road-closed	Plaza Italia	1
road-closed	San Joaquín	2
road-closed	Quinta Normal	1
road-closed	Alameda Centro	1
road-closed	Costanera Norte	2
road-closed	Autopista Central	1
road-closed	Estación Central	3
road-closed	Camino a Melipilla	2
road-closed	Ñuñoa Plaza Egaña	1
